step(s);edge;lane_id;queue(xe);waitingTime(s);avgSpeed(m/s);density(m);outflow(xe);greenTime(s);redTime(s);cycleTime(s)
0;E3-4;E3-4_0;1;0.0;0,000000;10,000000;1;84.0;90.0;90.0
0;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;E3-4;E3-4_0;1;0.0;7,562823;40,000000;4;84.0;90.0;90.0
30;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
60;E3-4;E3-4_0;4;25.0;3,541290;70,000000;7;84.0;90.0;90.0
60;E3-4;E3-4_1;3;17.0;0,011946;30,000000;3;84.0;90.0;90.0
90;E3-4;E3-4_0;7;154.0;0,510461;90,000000;9;84.0;90.0;90.0
90;E3-4;E3-4_1;7;132.0;0,992295;80,000000;8;84.0;90.0;90.0
120;E3-4;E3-4_0;1;0.0;7,685092;40,000000;4;84.0;90.0;90.0
120;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
150;E3-4;E3-4_0;4;27.0;3,223894;70,000000;7;84.0;90.0;90.0
150;E3-4;E3-4_1;2;17.0;0,065383;30,000000;3;84.0;90.0;90.0
180;E3-4;E3-4_0;8;156.0;0,464590;90,000000;9;84.0;90.0;90.0
180;E3-4;E3-4_1;7;134.0;1,142327;80,000000;8;84.0;90.0;90.0
210;E3-4;E3-4_0;0;0.0;9,769522;30,000000;3;84.0;90.0;90.0
210;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
240;E3-4;E3-4_0;3;23.0;3,970834;60,000000;6;84.0;90.0;90.0
240;E3-4;E3-4_1;2;15.0;0,261291;30,000000;3;84.0;90.0;90.0
270;E3-4;E3-4_0;8;153.0;0,533631;90,000000;9;84.0;90.0;90.0
270;E3-4;E3-4_1;7;128.0;0,969281;80,000000;8;84.0;90.0;90.0
300;E3-4;E3-4_0;0;0.0;9,605081;30,000000;3;84.0;90.0;90.0
300;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
330;E3-4;E3-4_0;3;32.0;2,449606;60,000000;6;84.0;90.0;90.0
330;E3-4;E3-4_1;3;24.0;2,183121;40,000000;4;84.0;90.0;90.0
360;E3-4;E3-4_0;9;172.0;0,508835;100,000000;10;84.0;90.0;90.0
360;E3-4;E3-4_1;8;154.0;0,406877;90,000000;9;84.0;90.0;90.0
390;E3-4;E3-4_0;0;0.0;9,258652;30,000000;3;84.0;90.0;90.0
390;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
420;E3-4;E3-4_0;3;24.0;3,712898;60,000000;6;84.0;90.0;90.0
420;E3-4;E3-4_1;2;13.0;0,141735;30,000000;3;84.0;90.0;90.0
450;E3-4;E3-4_0;7;153.0;0,412153;90,000000;9;84.0;90.0;90.0
450;E3-4;E3-4_1;7;132.0;1,131138;80,000000;8;84.0;90.0;90.0
480;E3-4;E3-4_0;0;0.0;9,106947;30,000000;3;84.0;90.0;90.0
480;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
510;E3-4;E3-4_0;3;23.0;4,405367;60,000000;6;84.0;90.0;90.0
510;E3-4;E3-4_1;2;15.0;0,456096;30,000000;3;84.0;90.0;90.0
540;E3-4;E3-4_0;7;149.0;0,458856;90,000000;9;84.0;90.0;90.0
540;E3-4;E3-4_1;7;128.0;1,034080;80,000000;8;84.0;90.0;90.0
570;E3-4;E3-4_0;0;0.0;8,503580;30,000000;3;84.0;90.0;90.0
570;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
600;E3-4;E3-4_0;3;20.0;3,947031;60,000000;6;84.0;90.0;90.0
600;E3-4;E3-4_1;2;14.0;2,278388;30,000000;3;84.0;90.0;90.0
630;E3-4;E3-4_0;7;144.0;0,228906;90,000000;9;84.0;90.0;90.0
630;E3-4;E3-4_1;6;123.0;1,051696;80,000000;8;84.0;90.0;90.0
660;E3-4;E3-4_0;0;0.0;7,755941;30,000000;3;84.0;90.0;90.0
660;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
690;E3-4;E3-4_0;3;27.0;2,156877;60,000000;6;84.0;90.0;90.0
690;E3-4;E3-4_1;3;21.0;2,451918;40,000000;4;84.0;90.0;90.0
720;E3-4;E3-4_0;8;164.0;0,977679;100,000000;10;84.0;90.0;90.0
720;E3-4;E3-4_1;7;142.0;0,114891;80,000000;8;84.0;90.0;90.0
750;E3-4;E3-4_0;0;0.0;8,357402;30,000000;3;84.0;90.0;90.0
750;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
780;E3-4;E3-4_0;3;21.0;4,026434;60,000000;6;84.0;90.0;90.0
780;E3-4;E3-4_1;2;14.0;0,540935;30,000000;3;84.0;90.0;90.0
810;E3-4;E3-4_0;7;150.0;0,523965;90,000000;9;84.0;90.0;90.0
810;E3-4;E3-4_1;7;129.0;1,164446;80,000000;8;84.0;90.0;90.0
840;E3-4;E3-4_0;0;0.0;9,029384;30,000000;3;84.0;90.0;90.0
840;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
870;E3-4;E3-4_0;3;24.0;4,128468;60,000000;6;84.0;90.0;90.0
870;E3-4;E3-4_1;2;16.0;0,321332;30,000000;3;84.0;90.0;90.0
900;E3-4;E3-4_0;8;152.0;0,485822;90,000000;9;84.0;90.0;90.0
900;E3-4;E3-4_1;7;130.0;1,146154;80,000000;8;84.0;90.0;90.0
930;E3-4;E3-4_0;0;0.0;8,271342;30,000000;3;84.0;90.0;90.0
930;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
960;E3-4;E3-4_0;3;24.0;3,887154;60,000000;6;84.0;90.0;90.0
960;E3-4;E3-4_1;2;14.0;1,265288;30,000000;3;84.0;90.0;90.0
990;E3-4;E3-4_0;7;149.0;0,478582;90,000000;9;84.0;90.0;90.0
990;E3-4;E3-4_1;7;130.0;1,038120;80,000000;8;84.0;90.0;90.0
