step;queue;waitingTime;avgSpeed;density;outflow;greenTime;redTime;cycleTime
0;2;0.0;6,945;0.005;2;84.0;90.0;90.0
30;16;139.0;7,367610410998134;0.055;22;84.0;90.0;90.0
60;6;38.0;7,236443643291093;0.05;20;84.0;90.0;90.0
90;12;323.0;7,187852411862957;0.0525;21;84.0;90.0;90.0
120;26;479.0;6,662060410510554;0.0675;27;84.0;90.0;90.0
150;4;10.0;5,839455094436143;0.055;22;84.0;90.0;90.0
180;12;296.0;7,854158760782255;0.0525;21;84.0;90.0;90.0
210;26;495.0;6,350082028599419;0.0675;27;84.0;90.0;90.0
240;4;10.0;6,840485879664817;0.0525;21;84.0;90.0;90.0
270;12;281.0;8,160824295764114;0.0525;21;84.0;90.0;90.0
300;26;494.0;6,927869564225018;0.0675;27;84.0;90.0;90.0
330;3;5.0;7,375848407735382;0.05;20;84.0;90.0;90.0
360;13;250.0;8,381853768505739;0.0525;21;84.0;90.0;90.0
390;26;524.0;6,851302340134265;0.0675;27;84.0;90.0;90.0
420;5;10.0;6,686336616161979;0.0525;21;84.0;90.0;90.0
450;14;286.0;7,974685345989078;0.055;22;84.0;90.0;90.0
480;26;506.0;6,452233006032234;0.0675;27;84.0;90.0;90.0
510;4;9.0;5,562547444517786;0.0575;23;84.0;90.0;90.0
540;12;281.0;7,9990862475125315;0.0525;21;84.0;90.0;90.0
570;26;464.0;7,611468906495245;0.0675;27;84.0;90.0;90.0
