step;queue;waitingTime;avgSpeed;density;outflow;greenTime;redTime;cycleTime
0;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
60;0;0.0;13,913709;0,010000;1;84.0;90.0;90.0
90;0;0.0;14,289574;0,010000;1;84.0;90.0;90.0
120;0;0.0;12,757437;0,010000;1;84.0;90.0;90.0
150;0;0.0;13,168698;0,010000;1;84.0;90.0;90.0
180;0;0.0;15,011168;0,010000;1;84.0;90.0;90.0
210;0;0.0;11,510245;0,010000;1;84.0;90.0;90.0
240;0;0.0;11,003281;0,010000;1;84.0;90.0;90.0
270;0;0.0;13,434290;0,010000;1;84.0;90.0;90.0
300;0;0.0;13,821478;0,010000;1;84.0;90.0;90.0
330;0;0.0;12,508612;0,010000;1;84.0;90.0;90.0
360;0;0.0;15,828297;0,010000;1;84.0;90.0;90.0
390;0;0.0;13,515209;0,010000;1;84.0;90.0;90.0
420;0;0.0;9,535685;0,010000;1;84.0;90.0;90.0
450;0;0.0;13,061079;0,010000;1;84.0;90.0;90.0
480;0;0.0;11,918921;0,010000;1;84.0;90.0;90.0
510;0;0.0;13,561010;0,010000;1;84.0;90.0;90.0
540;0;0.0;15,173335;0,010000;1;84.0;90.0;90.0
570;0;0.0;16,555848;0,010000;1;84.0;90.0;90.0
