step(s);edge;lane_id;queue(xe);waitingTime(s);avgSpeed(m/s);density(m);outflow(xe);greenTime(s);redTime(s);cycleTime(s)
0;E3-4;E3-4_0;1;0.0;0,000000;10,000000;1;84.0;90.0;90.0
0;E3-4;E3-4_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;E3-4;E3-4_0;1;0.0;6,067806;30,000000;3;84.0;90.0;90.0
30;E3-4;E3-4_1;0;0.0;12,370907;10,000000;1;84.0;90.0;90.0
60;E3-4;E3-4_0;4;34.0;2,979811;60,000000;6;84.0;90.0;90.0
60;E3-4;E3-4_1;2;12.0;1,346560;40,000000;4;84.0;90.0;90.0
90;E3-4;E3-4_0;9;173.0;0,788891;110,000000;11;84.0;90.0;90.0
90;E3-4;E3-4_1;7;124.0;0,013264;80,000000;8;84.0;90.0;90.0
120;E3-4;E3-4_0;0;0.0;6,652026;60,000000;6;84.0;90.0;90.0
120;E3-4;E3-4_1;10;169.0;0,065846;120,000000;12;84.0;90.0;90.0
150;E3-4;E3-4_0;9;64.0;0,000860;90,000000;9;84.0;90.0;90.0
150;E3-4;E3-4_1;12;94.0;0,001774;120,000000;12;84.0;90.0;90.0
180;E3-4;E3-4_0;8;289.0;0,000000;80,000000;8;84.0;90.0;90.0
180;E3-4;E3-4_1;11;408.0;0,000000;110,000000;11;84.0;90.0;90.0
210;E3-4;E3-4_0;1;0.0;6,929997;40,000000;4;84.0;90.0;90.0
210;E3-4;E3-4_1;8;79.0;0,830367;110,000000;11;84.0;90.0;90.0
240;E3-4;E3-4_0;7;58.0;1,145141;90,000000;9;84.0;90.0;90.0
240;E3-4;E3-4_1;8;61.0;0,043514;90,000000;9;84.0;90.0;90.0
270;E3-4;E3-4_0;11;336.0;0,000000;110,000000;11;84.0;90.0;90.0
270;E3-4;E3-4_1;10;320.0;0,003872;100,000000;10;84.0;90.0;90.0
300;E3-4;E3-4_0;0;0.0;6,650167;50,000000;5;84.0;90.0;90.0
300;E3-4;E3-4_1;10;125.0;0,009563;100,000000;10;84.0;90.0;90.0
330;E3-4;E3-4_0;6;34.0;1,959631;90,000000;9;84.0;90.0;90.0
330;E3-4;E3-4_1;9;68.0;0,059363;120,000000;12;84.0;90.0;90.0
360;E3-4;E3-4_0;12;305.0;0,000000;120,000000;12;84.0;90.0;90.0
360;E3-4;E3-4_1;12;395.0;0,000000;120,000000;12;84.0;90.0;90.0
390;E3-4;E3-4_0;2;87.0;5,523329;60,000000;6;84.0;90.0;90.0
390;E3-4;E3-4_1;1;2.0;2,685903;80,000000;8;84.0;90.0;90.0
420;E3-4;E3-4_0;5;37.0;1,586651;80,000000;8;84.0;90.0;90.0
420;E3-4;E3-4_1;10;88.0;0,138402;110,000000;11;84.0;90.0;90.0
450;E3-4;E3-4_0;12;280.0;0,000000;120,000000;12;84.0;90.0;90.0
450;E3-4;E3-4_1;11;393.0;0,000000;110,000000;11;84.0;90.0;90.0
480;E3-4;E3-4_0;2;53.0;0,857635;30,000000;3;84.0;90.0;90.0
480;E3-4;E3-4_1;0;0.0;3,699556;70,000000;7;84.0;90.0;90.0
510;E3-4;E3-4_0;6;59.0;1,862584;90,000000;9;84.0;90.0;90.0
510;E3-4;E3-4_1;5;47.0;0,011335;50,000000;5;84.0;90.0;90.0
540;E3-4;E3-4_0;11;277.0;0,134741;120,000000;12;84.0;90.0;90.0
540;E3-4;E3-4_1;11;220.0;0,013418;110,000000;11;84.0;90.0;90.0
570;E3-4;E3-4_0;0;0.0;5,535737;60,000000;6;84.0;90.0;90.0
570;E3-4;E3-4_1;7;35.0;0,807707;100,000000;10;84.0;90.0;90.0
600;E3-4;E3-4_0;9;68.0;0,553347;110,000000;11;84.0;90.0;90.0
600;E3-4;E3-4_1;11;104.0;0,280976;120,000000;12;84.0;90.0;90.0
630;E3-4;E3-4_0;12;377.0;0,000000;120,000000;12;84.0;90.0;90.0
630;E3-4;E3-4_1;12;436.0;0,000000;120,000000;12;84.0;90.0;90.0
660;E3-4;E3-4_0;0;0.0;5,899603;40,000000;4;84.0;90.0;90.0
660;E3-4;E3-4_1;0;0.0;9,237984;20,000000;2;84.0;90.0;90.0
690;E3-4;E3-4_0;5;34.0;0,684537;60,000000;6;84.0;90.0;90.0
690;E3-4;E3-4_1;3;25.0;3,276086;50,000000;5;84.0;90.0;90.0
720;E3-4;E3-4_0;9;192.0;0,606804;110,000000;11;84.0;90.0;90.0
720;E3-4;E3-4_1;7;141.0;0,547238;80,000000;8;84.0;90.0;90.0
750;E3-4;E3-4_0;1;0.0;4,940786;70,000000;7;84.0;90.0;90.0
750;E3-4;E3-4_1;0;0.0;3,446716;60,000000;6;84.0;90.0;90.0
780;E3-4;E3-4_0;5;57.0;1,669790;80,000000;8;84.0;90.0;90.0
780;E3-4;E3-4_1;4;40.0;1,110733;50,000000;5;84.0;90.0;90.0
810;E3-4;E3-4_0;10;248.0;0,463519;120,000000;12;84.0;90.0;90.0
810;E3-4;E3-4_1;10;213.0;0,000243;100,000000;10;84.0;90.0;90.0
840;E3-4;E3-4_0;0;0.0;7,530311;40,000000;4;84.0;90.0;90.0
840;E3-4;E3-4_1;0;0.0;7,170605;30,000000;3;84.0;90.0;90.0
870;E3-4;E3-4_0;3;19.0;2,332502;60,000000;6;84.0;90.0;90.0
870;E3-4;E3-4_1;3;31.0;3,120501;40,000000;4;84.0;90.0;90.0
900;E3-4;E3-4_0;10;173.0;0,194009;110,000000;11;84.0;90.0;90.0
900;E3-4;E3-4_1;7;136.0;0,427968;80,000000;8;84.0;90.0;90.0
930;E3-4;E3-4_0;1;0.0;7,819664;30,000000;3;84.0;90.0;90.0
930;E3-4;E3-4_1;0;0.0;5,290406;30,000000;3;84.0;90.0;90.0
960;E3-4;E3-4_0;4;26.0;1,033759;60,000000;6;84.0;90.0;90.0
960;E3-4;E3-4_1;2;13.0;4,749985;40,000000;4;84.0;90.0;90.0
990;E3-4;E3-4_0;8;166.0;0,360015;100,000000;10;84.0;90.0;90.0
990;E3-4;E3-4_1;8;121.0;0,720245;90,000000;9;84.0;90.0;90.0
