step;edge;lane_id;queue;waitingTime;avgSpeed;density;outflow;greenTime;redTime;cycleTime
0;E5-3;E5-3_0;1;0.0;0,000000;0,050000;1;84.0;90.0;90.0
30;E5-3;E5-3_0;8;67.0;0,887245;0,550000;11;84.0;90.0;90.0
60;E5-3;E5-3_0;0;0.0;5,741156;0,300000;6;84.0;90.0;90.0
90;E5-3;E5-3_0;1;1.0;5,286902;0,250000;5;84.0;90.0;90.0
120;E5-3;E5-3_0;13;211.0;0,000804;0,650000;13;84.0;90.0;90.0
150;E5-3;E5-3_0;1;1.0;1,692459;0,500000;10;84.0;90.0;90.0
180;E5-3;E5-3_0;0;0.0;5,830838;0,300000;6;84.0;90.0;90.0
210;E5-3;E5-3_0;13;239.0;0,000083;0,650000;13;84.0;90.0;90.0
240;E5-3;E5-3_0;1;1.0;0,945774;0,500000;10;84.0;90.0;90.0
270;E5-3;E5-3_0;0;0.0;4,936213;0,300000;6;84.0;90.0;90.0
300;E5-3;E5-3_0;13;236.0;0,000000;0,650000;13;84.0;90.0;90.0
330;E5-3;E5-3_0;0;0.0;1,650159;0,450000;9;84.0;90.0;90.0
360;E5-3;E5-3_0;2;1.0;3,658855;0,350000;7;84.0;90.0;90.0
390;E5-3;E5-3_0;13;253.0;0,000000;0,650000;13;84.0;90.0;90.0
420;E5-3;E5-3_0;1;0.0;1,620272;0,500000;10;84.0;90.0;90.0
450;E5-3;E5-3_0;2;1.0;5,055667;0,350000;7;84.0;90.0;90.0
480;E5-3;E5-3_0;13;250.0;0,000000;0,650000;13;84.0;90.0;90.0
510;E5-3;E5-3_0;1;0.0;2,202161;0,500000;10;84.0;90.0;90.0
540;E5-3;E5-3_0;0;0.0;5,264458;0,300000;6;84.0;90.0;90.0
570;E5-3;E5-3_0;13;229.0;0,000011;0,650000;13;84.0;90.0;90.0
